# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000040,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000080,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,-0.000000
0.000845,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,-0.000000,-0.000000
0.001609,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000129,0.001471,0.000000,0.000000,223.997956,0.999048,-0.043619,0.000000,0.000000
0.002708,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000697,0.007962,0.000000,0.000001,223.997962,0.999048,-0.043619,-0.000000,0.000000
0.003808,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.002030,0.023205,0.000000,0.000002,223.997979,0.999048,-0.043619,-0.000000,0.000000
0.004907,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.004129,0.047199,-0.000000,0.000005,223.998017,0.999048,-0.043619,0.000000,-0.000000
0.015899,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.067256,0.768738,-0.000000,0.000324,224.001660,0.999048,-0.043619,0.000000,0.000000
0.016091,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.069035,0.789078,0.000000,0.000337,224.001811,0.999048,-0.043619,0.000000,0.000000
0.016282,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.070813,0.809400,-0.000000,0.000351,224.001966,0.999048,-0.043619,0.000000,0.000000
0.016474,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.072590,0.829705,0.000000,0.000365,224.002125,0.999048,-0.043619,0.000000,0.000000
0.016665,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.074365,0.849993,0.000000,0.000379,224.002288,0.999048,-0.043619,0.000000,0.000000
0.016857,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.076138,0.870264,0.000000,0.000394,224.002455,0.999048,-0.043619,-0.000000,0.000000
0.017240,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.079682,0.910770,0.000000,0.000423,224.002796,0.999048,-0.043619,0.000000,0.000000
0.017623,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.083220,0.951207,0.000000,0.000455,224.003153,0.999048,-0.043619,-0.000000,0.000000
