time,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,xhat_0,xhat_1,xhat_2,xhat_3,xhat_4,xhat_5,xhat_6,xhat_7,xhat_8,xhat_9,input_0
0.0,0.0,0.0,223.99795532226562,0.0,0.0,0.0,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8790248980696955e-06
0.0,0.0,0.0,223.99795532226562,0.0,0.0,0.0,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-1.765785089544081e-07,1.4402554746296893e-07,-1.3547090935846341e-07,0.0,0.0,-0.3924,0.9999999999999846,-1.7556704335379494e-07,1.2842067257844936e-09,-3.3216255284043173e-10,-1.7207837882031477e-05
0.04,0.0,0.004549533932967292,224.04995673307263,0.0,0.27930419138700757,3.192461515933961,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,1.7671942346452624e-08,-1.7848909281480334e-07,6.009543331496849e-07,5.529095378586154e-09,1.4332816817748776e-07,-0.7849465481076845,0.9999999999999363,-3.570431109990341e-07,8.532412064013655e-09,-5.4046263757578396e-09,-0.0001754403329549427
0.08,0.0,0.022207092346637276,224.25178354927993,0.0,0.6044205221333486,6.908558180846494,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-2.0859838351910373e-07,-5.520595374403807e-07,6.126841016640256e-06,1.0189415760285634e-09,4.2247657356513924e-07,3.027366694746835,0.9999999999998616,-5.260444646570715e-07,2.7389715702981083e-09,1.8206680200577448e-08,-0.0025864937404907256
0.12,0.0,0.0531030530471386,224.60492599603074,0.0,0.9427993039306092,10.776245354933849,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-2.703667894672794e-07,-3.0720312190132574e-07,9.034649079808267e-05,1.368718731561627e-07,7.848952781404236e-07,6.830640800869375,0.9999999999997119,-7.11791655195486e-07,-1.7129646090821134e-08,2.634448544175542e-07,-0.0146054828662826
0.16,0.0,0.09778560871172312,225.11564994429796,0.0,1.2930120298202705,14.779195128945297,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-2.0325801811098905e-07,-7.971793994483178e-07,0.0005103299423905048,2.9131031041153984e-07,1.195791508051482e-06,10.796553598101806,0.9999999999920761,-9.029846547364434e-07,-2.7401673618882553e-08,3.877069615707666e-06,-0.04290716500324868
0.2,0.0,0.15665737652878184,225.788557329603,0.0,1.6509665982077857,18.870634567626958,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-8.804320039236843e-09,-7.773102826349051e-07,0.0014999368673217395,9.583477742707878e-07,1.7286677481751886e-06,14.878721855503551,0.999999999704404,-1.0863102059833448e-06,-6.214712937920316e-08,2.4290084592335933e-05,-0.09123759534854269
0.24,0.0,0.22984038431218548,226.6250429362407,0.0,2.0077650623504653,22.9488596743227,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-5.137346212889134e-07,-6.611724955667747e-07,0.00319181039714765,1.8346501540462906e-06,2.5699188967530852e-06,18.994498820257345,0.9999999964470736,-1.259781212407678e-06,-9.023018960369598e-08,8.428675854074099e-05,-0.15800648335873174
0.28,0.0,0.31722346619578173,227.6238361325467,0.0,2.3608170060900697,26.984261856857934,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-9.899826750041456e-07,-1.3928752973978828e-06,0.0055338057752198,2.768125455470816e-06,2.7758813464168595e-06,23.071843991891527,0.9999999775356608,-1.4511368279865114e-06,-1.1326949665759827e-07,0.00021195886254698684,-0.23622524712276574
0.32,0.0,0.41861746405502265,228.7827748312639,0.0,2.707919753334911,30.951664412298623,0.9990482215818578,-0.043619387365336,0.0,0.0,0.0,0.0,0.0,-9.698289773014287e-07,-1.2436202595885013e-06,0.008287028685873384,5.249259216891333e-06,2.0839235149574793e-06,27.09013601590288,0.9999999061201906,-1.6576299076401492e-06,-1.6849268107296795e-07,0.0004333091664455908,-0.31617496873039835
0.36,8.772806766417263e-05,0.5340314252040995,230.09908474486704,0.006362753665781597,3.068087532516647,34.85917516806935,0.999044880155621,-0.04369570084580423,-9.217813099306723e-05,3.362249770691397e-05,-0.011252657060084003,-0.013693630470992008,0.00428366051961881,-1.0287438942496183e-06,-1.0723924471810979e-06,0.01111900564210132,7.808569073301808e-06,1.2773655855858421e-06,31.02948916457694,0.9999997075479935,-1.8612736132369121e-06,-2.1335511333140151e-07,0.0007647878250695829,-0.3889957220533496
0.4,0.0005020199958115873,0.6641279117617556,231.5714879626437,0.013784443925261144,3.437112689672724,38.76091393787775,0.9990270415584317,-0.044097481895551245,-0.0005639997607638083,0.0001983115017361465,-0.029173825742497158,-0.034167517249509484,0.010028415482214172,-1.0822051721139976e-06,-1.1639802871633056e-06,0.013728807493959043,1.0295436173407168e-05,1.7592583328259125e-07,34.93892598673029,0.9999992684982831,-2.0700749759720815e-06,-2.533394230690273e-07,0.0012095447693739852,-0.45018524872580074
0.44,0.0011053341544050232,0.8090623350440875,233.19994367867804,0.015180761527586982,3.810530720098529,42.661644334869685,0.9989918118839526,-0.044866467082824775,-0.0014339491517615917,0.0004890478845005897,-0.04779528828792916,-0.053734610522386164,0.015135984714657335,-2.2632681759848552e-06,-3.225360746232377e-06,0.015971422446126447,1.3336807582041012e-05,-1.2356980286157878e-06,38.84259764321146,0.9999984534974107,-2.2788678917437826e-06,-3.0438884696369547e-07,0.0017586919858326834,-0.4993648023944774
0.48,0.001569418834514482,0.9690876432053122,234.98438893763068,0.0061951694665452845,4.192241919307096,46.56020697999943,0.9989374488078282,-0.04599965710286953,-0.002663569184475311,0.0008911053449472493,-0.06534830009676845,-0.07023903983127647,0.019600354117561433,-4.03635841587346e-06,-5.328829358740364e-06,0.01785194850866124,2.3099123452452617e-05,-6.494643281448374e-06,42.738900320353316,0.9999971258857002,-2.542457133447322e-06,-4.313872780333261e-07,0.0023975432611368012,-0.5384283240003119
0.52,0.0014042818212429615,1.144607563534026,236.92470258985514,-0.01714258779721905,4.58605154794954,50.454262038687325,0.9988636555312532,-0.04745499351779416,-0.0041696909859480985,0.001388461763693633,-0.07963225114861132,-0.08127931877472741,0.023489692037326537,-7.216853344612981e-06,-8.679675490068729e-06,0.019463769033111228,4.093128447349999e-05,-1.8319710850738063e-05,46.6261738950309,0.999995158917077,-2.8786656365457e-06,-6.488377687050483e-07,0.0031116127172598207,-0.5694551292201337
0.56,-3.575431697707728e-05,1.3361751329300795,239.02058258839986,-0.05792034226111633,4.995052863911581,54.33775690285419,0.9987728714414545,-0.04914215565993345,-0.005818336933731429,0.0019659147036924893,-0.08818895901748046,-0.0844948634218948,0.02700571211132136,-1.0065052139681e-05,-1.1358327239336232e-05,0.020919602973153713,7.268849803878281e-05,-4.300280888844103e-05,50.49906811947733,0.9999924333262449,-3.342406227346724e-06,-1.0092811823156476e-06,0.0038901514193159185,-0.5936040332455034
