#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop
6, 11224, 1,KE9ERI,     0.00, -99,  14, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.29, -79,   7, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.32, -95,  12, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.40, -92,   9, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.43, -90,   6, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.10, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.43, -87,   8, 3,   boost,  125.53,  99505.00,  152.61,   19.58,    0.00, 23.4, 8.04, 8.10, 3.87, 137.52,  -1.75,   0.03, -58.96,  29.60,   2.69,   0.13,  -0.26,   0.13,   6.00, 8.09, 0.00, 0.00, 8.04, 8.10, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.51, -86,  12, 3,   boost,  129.94,  99470.00,  155.57,   22.54,   13.89, 23.4, 8.04, 8.10, 3.87, 140.48,  -2.25,   1.27, -42.42,  40.28,   0.31,   0.11,  -0.24,   0.08,  10.00, 8.09, 0.00, 0.00, 8.04, 8.10, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.54, -84,   6, 3,   boost,  129.94,  99470.00,  155.57,   22.54,   13.89, 23.4, 8.04, 8.10, 3.87, 140.48,  -2.25,   1.27, -42.42,  40.28,   0.31,   0.11,  -0.24,   0.08,  10.00, 8.08, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.62, -82,   9, 3,   boost,  132.39,  99397.00,  161.74,   28.71,   27.97, 23.4, 8.04, 8.10, 3.87, 143.66,  -2.38,   1.65, -30.40,  37.05,  -0.55,   0.10,  -0.22,   0.03,  14.00, 8.08, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.65, -81,   8, 3,   boost,  132.39,  99397.00,  161.74,   28.71,   27.97, 23.4, 8.04, 8.10, 3.87, 143.66,  -2.38,   1.65, -30.40,  37.05,  -0.55,   0.10,  -0.22,   0.03,  14.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.73, -79,   6, 3,   boost,  134.35,  99316.00,  168.59,   35.56,   42.06, 23.4, 8.04, 8.10, 3.87, 146.47,  -2.49,   4.36,  -3.30,  23.56,  -1.10,   0.08,  -0.21,   0.00,  17.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.76, -79,   7, 3,   boost,  134.35,  99316.00,  168.59,   35.56,   42.06, 23.4, 8.04, 8.10, 3.87, 146.47,  -2.49,   4.36,  -3.30,  23.56,  -1.10,   0.08,  -0.21,   0.00,  17.00, 8.08, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.84, -79,   7, 3,   boost,  135.82,  99230.00,  175.87,   42.84,   56.14, 23.4, 8.04, 8.10, 3.87, 148.41,  -2.90,   7.36,   9.58,   3.23,  -1.40,   0.07,  -0.21,  -0.00,  19.00, 8.08, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.87, -78,  16, 3,   boost,  135.82,  99230.00,  175.87,   42.84,   56.14, 23.4, 8.04, 8.10, 3.87, 148.41,  -2.90,   7.36,   9.58,   3.23,  -1.40,   0.07,  -0.21,  -0.00,  19.00, 8.08, 0.00, 0.00, 8.10, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.95, -78,   6, 3,   boost,  135.33,  99095.00,  187.31,   54.27,   70.23, 23.4, 8.04, 8.10, 3.87, 149.22,  -2.56,   5.29,   5.31, -11.66,   2.08,   0.08,  -0.22,   0.01,  18.00, 8.08, 0.00, 0.00, 8.10, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     0.98, -78,   6, 3,   boost,  135.33,  99095.00,  187.31,   54.27,   70.23, 23.4, 8.10, 8.10, 3.87, 149.22,  -2.56,   5.29,   5.31, -11.66,   2.08,   0.08,  -0.22,   0.01,  18.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.06, -77,   8, 3,   boost,  136.80,  98903.00,  203.59,   70.56,   84.49, 23.4, 8.10, 8.10, 3.87, 149.52,  -2.82,   1.74,  -4.15, -28.75,   2.14,   0.09,  -0.22,   0.02,  16.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.09, -76,   7, 3,   boost,  136.80,  98903.00,  203.59,   70.56,   84.49, 23.4, 8.10, 8.10, 3.87, 149.52,  -2.82,   1.74,  -4.15, -28.75,   2.14,   0.09,  -0.22,   0.02,  16.00, 8.09, 0.00, 0.00, 8.10, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.17, -78,   8, 3,   boost,  138.27,  98710.00,  219.99,   86.95,   99.10, 23.4, 8.10, 8.10, 3.87, 148.84,  -3.05,  -1.44, -30.64, -14.40,   3.42,   0.10,  -0.21,   0.04,  13.00, 8.09, 0.00, 0.00, 8.10, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.20, -78,  11, 3,   boost,  138.27,  98710.00,  219.99,   86.95,   99.10, 23.4, 8.10, 8.10, 3.87, 148.84,  -3.05,  -1.44, -30.64, -14.40,   3.42,   0.10,  -0.21,   0.04,  13.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.28, -79,   5, 3,   boost,  136.31,  98470.00,  240.41,  107.38,  113.79, 23.4, 8.10, 8.10, 3.87, 147.41,  -4.65,   0.37, -33.81,  17.09,   1.04,   0.10,  -0.20,   0.02,  13.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.29, -90,  12, 3,   boost,  136.31,  98470.00,  240.41,  107.38,  113.79, 23.4, 8.10, 8.10, 3.87, 147.41,  -4.65,   0.37, -33.81,  17.09,   1.04,   0.10,  -0.20,   0.02,  13.00, 8.09, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 11224, 1,KE9ERI,     1.31, -79,   6, 3,   boost,  136.31,  98470.00,  240.41,  107.38,  113.79, 23.4, 8.04, 8.10, 3.87, 147.41,  -4.65,   0.37, -33.81,  17.09,   1.04,   0.10,  -0.20,   0.02,  13.00, 8.08, 0.00, 0.00, 8.04, 8.04, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
