t_s,log_x_up_m,log_y_west_m,log_z_north_m,sim_x_up_m,sim_y_west_m,sim_z_north_m,log_speed_m_s,sim_speed_m_s,log_roll_rate_deg_s_bias_corrected,sim_roll_rate_deg_s,state
-0.510000,0.000000,0.000000,0.000000,-6.100000,-0.000000,0.000000,0.000000,0.000000,-2.200000,0.000000,boost
-0.220000,0.000000,0.000000,0.000000,-6.100000,-0.000000,0.000000,0.000000,0.000000,-2.200000,0.000000,boost
-0.190000,0.000000,0.000000,0.000000,-6.100000,-0.000000,0.000000,0.000000,0.000000,-2.200000,0.000000,boost
-0.110000,0.000000,0.000000,0.000000,-6.100000,-0.000000,0.000000,0.000000,0.000000,-2.200000,0.000000,boost
-0.080000,0.000000,0.000000,0.000000,-6.100000,-0.000000,0.000000,0.000000,0.000000,-2.200000,0.000000,boost
0.000000,2.960000,0.093415,0.024120,-6.100000,-0.000000,0.000000,13.890000,0.000000,14.340000,0.000000,boost
0.030000,2.960000,0.163477,0.042210,-6.092056,0.000000,0.000000,13.890000,0.621864,14.340000,0.000000,boost
0.110000,9.130000,0.518960,0.133995,-5.792115,0.000000,0.000000,27.970000,7.891941,26.360000,0.000000,boost
0.140000,9.130000,0.715510,0.184744,-5.509417,0.000000,0.000000,27.970000,11.208365,26.360000,0.000000,boost
0.220000,15.980000,1.453845,0.375381,-4.249324,0.000000,0.000000,42.060000,20.166287,53.460000,0.000000,boost
0.250000,15.980000,1.811045,0.467610,-3.591715,0.000000,0.000000,42.060000,23.568119,53.460000,0.000000,boost
0.330000,23.260000,2.995192,0.773355,-1.335928,-0.000515,0.000152,56.140000,32.759377,66.340000,-0.576732,boost
0.360000,23.260000,3.526102,0.910436,-0.305542,-0.002018,0.000596,56.140000,36.248917,66.340000,-1.397812,boost
0.440000,34.690000,5.074508,1.310232,2.978319,-0.011497,0.003381,70.230000,45.660891,62.070000,-4.012363,boost
0.470000,34.690000,5.704902,1.472999,4.400581,-0.016042,0.004707,70.230000,49.225482,62.070000,-5.126888,boost
0.550000,50.980000,7.447390,1.922908,8.718844,-0.024391,0.007067,84.490000,58.819947,52.610000,-8.391344,boost
0.580000,50.980000,8.123863,2.097572,10.540673,-0.023052,0.006596,84.490000,62.447668,52.610000,-9.702524,boost
0.660000,67.370000,9.889217,2.553385,15.919957,0.005763,-0.002238,99.100000,72.187501,26.120000,-13.339994,boost
0.690000,67.370000,10.536760,2.720580,18.140799,0.031388,-0.009982,99.100000,75.859052,26.120000,-14.737805,boost
0.770000,87.800000,12.391525,3.199478,24.594341,0.159472,-0.048409,113.790000,85.679092,22.950000,-18.488611,boost
0.780000,87.800000,12.639369,3.263471,25.463504,0.184523,-0.055893,113.790000,86.908887,22.950000,-18.956006,boost
0.800000,87.800000,13.135056,3.391457,27.225497,0.238412,-0.071982,113.790000,89.369095,22.950000,-19.889589,boost
0.880000,97.260000,15.410407,3.978950,34.756438,0.548639,-0.164253,128.090000,99.210654,15.200000,-23.577763,boost
0.910000,97.260000,16.373390,4.227591,37.778018,0.709379,-0.211903,128.090000,102.901692,15.200000,-24.936864,boost
0.990000,108.520000,19.263266,4.973754,46.399319,1.288802,-0.382986,141.820000,112.753366,-1.530000,-28.481543,boost
1.020000,108.520000,20.467691,5.284735,49.810575,1.557463,-0.462068,141.820000,116.454284,-1.530000,-29.785706,boost
1.100000,122.870000,23.732012,6.127579,59.482701,2.448612,-0.723295,155.350000,126.373378,-11.050000,-33.191231,boost
1.130000,122.870000,24.975829,6.448731,63.312902,2.844124,-0.838789,155.350000,130.117052,-11.050000,-34.447285,boost
1.210000,146.580000,28.325703,7.313665,74.047461,4.044997,-1.188052,168.740000,140.171497,-0.550000,-37.757545,boost
1.240000,146.580000,29.594293,7.641214,78.289667,4.550464,-1.334422,168.740000,143.967154,-0.550000,-38.985871,boost
1.320000,167.160000,33.107411,8.548297,90.114192,6.007484,-1.754665,181.730000,154.121136,27.890000,-42.234571,boost
1.350000,167.160000,34.473659,8.901061,94.759879,6.593146,-1.922880,181.730000,157.936206,27.890000,-43.441749,boost
1.430000,185.290000,38.243492,9.874427,107.688350,8.241149,-2.394427,194.350000,168.103942,22.280000,-46.633776,boost
1.460000,185.290000,39.704618,10.251688,112.720329,8.887300,-2.578733,194.350000,171.911541,22.280000,-47.821883,boost
1.540000,197.250000,43.858962,11.324335,126.756694,10.712552,-3.097613,206.660000,182.030991,0.730000,-50.965613,boost
1.570000,197.250000,45.513594,11.751559,132.225483,11.436374,-3.302880,206.660000,185.807388,0.730000,-52.137103,boost
1.650000,210.860000,49.911020,12.886970,147.337576,13.490183,-3.884177,218.600000,195.816919,4.090000,-55.240668,boost
1.680000,210.860000,51.554458,13.311304,153.202800,14.312288,-4.116446,218.600000,199.541650,4.090000,-56.395571,boost
1.760000,221.560000,56.201261,14.511103,169.381718,16.657105,-4.777633,230.020000,209.400080,0.060000,-59.445152,boost
1.790000,221.560000,58.042926,14.986619,175.647135,17.591950,-5.040678,230.020000,213.073279,0.060000,-60.577569,boost
1.870000,225.100000,63.071995,16.285119,192.861567,20.213794,-5.776629,241.070000,222.794708,-30.280000,-63.565848,boost
1.900000,225.100000,65.002132,16.783478,199.514985,21.242286,-6.064548,241.070000,226.407448,-30.280000,-64.672639,boost
1.980000,222.160000,70.258587,18.140689,217.772801,24.089716,-6.859473,251.320000,235.933908,-50.660000,-67.584829,boost
2.010000,222.160000,72.270791,18.660238,224.808418,25.195520,-7.167392,251.320000,239.460437,-50.660000,-68.661594,boost
2.090000,196.220000,77.539726,20.020671,244.077132,28.257108,-8.017943,257.980000,248.727083,-0.550000,-71.492039,boost
2.120000,196.220000,79.479223,20.521447,251.490790,29.452003,-8.349226,257.980000,252.147234,-0.550000,-72.537600,boost
2.200000,155.580000,84.823633,21.901368,271.729938,32.768439,-9.267062,258.390000,261.133048,23.680000,-75.283584,boost
2.230000,155.580000,86.892444,22.435532,279.503259,34.063787,-9.624875,258.390000,264.452031,23.680000,-76.296507,boost
2.310000,166.560000,92.369025,23.849580,300.685869,37.638416,-10.610383,254.620000,273.171973,19.040000,-78.944017,boost
2.340000,166.560000,94.407650,24.375951,308.802421,39.021903,-10.991044,254.620000,276.388413,19.040000,-79.914265,fast
2.420000,239.870000,99.799789,25.768195,330.904683,42.818929,-12.033651,250.480000,284.776002,30.030000,-82.442576,fast
2.450000,239.870000,101.805268,26.286007,339.357934,44.282294,-12.434666,250.480000,287.844636,30.030000,-83.368071,fast
2.530000,320.850000,107.113712,27.656641,362.331446,48.296354,-13.532401,246.780000,295.808299,12.020000,-85.772959,fast
2.560000,320.850000,109.089566,28.166805,371.103224,49.844534,-13.954929,246.780000,298.708723,12.020000,-86.649955,fast
2.640000,373.350000,114.320720,29.517483,394.901503,54.086452,-15.110291,243.240000,306.215734,13.610000,-88.919065,fast
2.670000,373.350000,116.268231,30.020328,403.974363,55.717326,-15.553611,243.240000,308.944903,13.610000,-89.743607,fast
2.750000,431.400000,121.426793,31.352263,428.541799,60.162169,-16.759530,239.980000,315.951609,-20.140000,-91.867306,fast
2.780000,431.400000,123.348203,31.848369,437.895914,61.864908,-17.220580,239.980000,318.438841,-20.140000,-92.627784,fast
2.860000,477.300000,128.440577,33.163214,463.172377,66.493793,-18.471655,237.040000,324.675454,-70.500000,-94.544397,fast
2.890000,477.300000,130.338447,33.653242,472.772878,68.263606,-18.949126,237.040000,326.862568,-70.500000,-95.218690,fast
2.970000,529.720000,135.369865,34.952349,498.657073,73.065464,-20.242512,234.270000,331.754777,-101.020000,-96.825735,fast
3.000000,529.720000,137.245557,35.436651,508.449218,74.891577,-20.733728,234.270000,333.031772,-101.020000,-97.295547,fast
3.080000,569.460000,142.217940,36.720514,534.695350,79.802689,-22.053593,231.510000,334.981127,-110.720000,-98.125205,fast
3.110000,569.460000,144.071534,37.199110,544.563093,81.653745,-22.550665,231.510000,335.123307,-110.720000,-98.268842,fast
3.190000,616.250000,148.984348,38.467593,570.848283,86.592755,-23.876458,228.690000,333.963555,-111.330000,-98.195941,fast
3.220000,616.250000,150.815364,38.940360,580.668517,88.440170,-24.372471,228.690000,333.053895,-111.330000,-98.008550,coast
3.300000,655.430000,155.667008,40.193049,606.706062,93.341100,-25.689473,225.780000,329.875711,-105.720000,-97.250994,coast
3.330000,655.430000,157.474725,40.659799,616.395929,95.164778,-26.180163,225.780000,328.418628,-105.720000,-96.867675,coast
3.410000,700.000000,162.267655,41.897328,642.037632,99.988287,-27.479520,223.190000,324.698511,-101.260000,-95.803738,coast
3.440000,700.000000,164.054635,42.358725,651.580233,101.782512,-27.963338,223.190000,323.362905,-101.260000,-95.411379,coast
3.520000,737.950000,168.793760,43.582361,676.836177,106.529944,-29.244667,220.740000,319.951359,-114.260000,-94.407134,coast
3.550000,737.950000,170.561124,44.038693,686.238944,108.297292,-29.722121,220.740000,318.724471,-114.260000,-94.045979,coast
3.630000,779.870000,175.244631,45.247969,711.143631,112.978799,-30.988144,217.980000,315.579875,-115.480000,-93.120734,coast
3.660000,779.870000,176.989897,45.698595,720.418886,114.722511,-31.460226,217.980000,314.447645,-115.480000,-92.787779,coast
3.740000,814.010000,181.616290,46.893124,744.996014,119.343166,-32.712479,215.390000,311.523892,-112.550000,-91.931049,coast
3.770000,814.010000,183.340819,47.338396,754.154175,121.065045,-33.179573,215.390000,310.458966,-112.550000,-91.619878,coast
3.780000,814.010000,183.915662,47.486820,757.199520,121.637637,-33.334953,215.390000,310.106841,-112.550000,-91.517247,coast
3.850000,856.060000,187.917705,48.520143,778.421178,125.628274,-34.418443,213.050000,307.672895,-105.470000,-90.809724,coast
3.880000,856.060000,189.623499,48.960577,787.465082,127.329330,-34.880587,213.050000,306.645201,-105.470000,-90.511592,coast
3.960000,898.380000,194.146875,50.128507,811.436342,131.839506,-36.106841,210.670000,303.938104,-99.670000,-89.728355,coast
3.990000,898.380000,195.833613,50.564021,820.371500,133.521190,-36.564470,210.670000,302.934872,-99.670000,-89.438307,coast
4.070000,944.210000,200.305106,51.718556,844.051059,137.979168,-37.778850,208.190000,300.290587,-143.310000,-88.674180,coast
4.100000,944.210000,201.971988,52.148943,852.878949,139.641528,-38.232129,208.190000,299.309714,-143.310000,-88.390780,coast
4.180000,974.820000,206.523630,53.324172,876.278323,144.048934,-39.435003,205.690000,296.722727,-164.190000,-87.643497,coast
4.210000,974.820000,208.270479,53.775206,885.000216,145.692245,-39.883869,205.690000,295.763159,-164.190000,-87.366376,coast
4.290000,1010.550000,212.901114,54.970831,908.124764,150.050720,-41.075273,203.250000,293.230744,-171.940000,-86.635153,coast
4.320000,1010.550000,214.627241,55.416515,916.744706,151.676037,-41.519922,203.250000,292.291276,-171.940000,-86.363928,coast
4.430000,1010.550000,220.956374,57.050690,948.114819,157.593923,-43.140788,203.250000,288.892765,-171.940000,-85.382862,coast
4.510000,1075.450000,225.506839,58.225615,970.700345,161.857379,-44.310409,198.610000,286.465286,-162.970000,-84.682209,coast
4.540000,1075.450000,227.193560,58.661125,979.116099,163.446684,-44.746838,198.610000,285.565153,-162.970000,-84.422441,coast
4.620000,1105.420000,231.667365,59.816256,1001.441571,167.664417,-45.905911,196.480000,283.186496,-162.480000,-83.736100,coast
4.760000,1105.420000,239.454314,61.826838,1040.066140,174.968134,-47.916346,196.480000,279.105748,-162.480000,-82.559002,coast
4.780000,1105.420000,240.566736,62.114064,1045.537565,176.003500,-48.201708,196.480000,278.531237,-162.480000,-82.393311,coast
4.840000,1167.520000,243.866802,62.966138,1061.888297,179.098609,-49.055291,192.100000,276.819147,-162.360000,-81.899573,coast
4.870000,1167.520000,245.498236,63.387372,1070.023622,180.639239,-49.480505,192.100000,275.970267,-162.360000,-81.654793,coast
4.950000,1200.140000,249.821325,64.503589,1091.600904,184.727406,-50.609791,189.680000,273.727232,-163.520000,-81.008087,coast
4.980000,1200.140000,251.432207,64.919517,1099.645313,186.252369,-51.031410,189.680000,272.894324,-163.520000,-80.767985,coast
5.060000,1226.870000,255.700490,66.021583,1120.979772,190.298880,-52.151085,187.260000,270.693498,-164.430000,-80.133657,coast
5.090000,1226.870000,257.290820,66.432204,1128.936831,191.808934,-52.569256,187.260000,269.875629,-164.430000,-79.897965,coast
5.170000,1258.340000,261.508147,67.521113,1150.026026,195.813745,-53.679321,185.180000,267.716523,-156.920000,-79.275952,coast
5.200000,1258.340000,263.080812,67.927174,1157.899338,197.309596,-54.094232,185.180000,266.912563,-156.920000,-79.044507,coast
5.280000,1284.650000,267.252732,69.004359,1178.760429,201.275776,-55.195467,183.250000,264.789034,-155.400000,-78.434442,coast
5.310000,1284.650000,268.809007,69.406187,1186.548046,202.757125,-55.607068,183.250000,263.997929,-155.400000,-78.207346,coast
5.390000,1314.480000,272.935746,70.471707,1207.178897,206.684418,-56.699414,181.190000,261.908287,-144.410000,-77.607289,coast
5.420000,1314.480000,274.474526,70.869018,1214.882801,208.151653,-57.107782,181.190000,261.129430,-144.410000,-77.383695,coast
5.500000,1342.760000,278.555178,71.922638,1235.287875,212.041037,-58.191412,179.180000,259.072483,-144.530000,-76.793298,coast
5.530000,1342.760000,280.076888,72.315541,1242.908117,213.494264,-58.596556,179.180000,258.305671,-144.530000,-76.573201,coast
5.640000,1342.760000,285.656489,73.756188,1270.627055,218.785744,-60.073478,179.180000,255.525775,-144.530000,-75.776779,coast
5.720000,1392.200000,289.670673,74.792646,1290.599707,222.602987,-61.140264,175.320000,253.530425,-155.150000,-75.205715,coast
5.750000,1392.200000,291.159601,75.177086,1298.049646,224.027831,-61.538750,175.320000,252.787719,-155.150000,-74.993180,coast
5.830000,1418.960000,295.106749,76.196235,1317.807405,227.809409,-62.597207,173.260000,250.822162,-110.230000,-74.430803,coast
5.860000,1418.960000,296.578182,76.576157,1325.174107,229.220498,-62.992523,173.260000,250.090895,-110.230000,-74.221612,coast
5.940000,1443.640000,300.478451,77.583202,1344.720197,232.967231,-64.043013,171.180000,248.154258,-83.620000,-73.667674,coast
5.970000,1443.640000,301.932219,77.958564,1352.010537,234.365790,-64.435466,171.180000,247.433371,-83.620000,-73.461502,coast
6.050000,1472.870000,305.786741,78.953797,1371.346655,238.078129,-65.478027,169.220000,245.525130,-63.780000,-72.915803,coast
6.080000,1472.870000,307.223864,79.324861,1378.564326,239.464797,-65.867710,169.220000,244.814014,-63.780000,-72.712463,coast
6.160000,1495.830000,311.035244,80.308955,1397.691143,243.142932,-66.902224,167.370000,242.933657,-49.560000,-72.174861,coast
6.190000,1495.830000,312.456655,80.675961,1404.828055,244.516425,-67.288795,167.370000,242.233206,-49.560000,-71.974625,coast
6.410000,1495.830000,322.880340,83.367345,1456.530579,254.485887,-70.099622,167.370000,237.178703,-49.560000,-70.530201,coast
6.490000,1572.120000,326.709493,84.356028,1475.069489,258.068969,-71.111952,161.590000,235.374180,-48.280000,-70.014715,coast
6.520000,1572.120000,328.159947,84.730534,1481.971326,259.404573,-71.489690,161.590000,234.703828,-48.280000,-69.823253,coast
6.630000,1572.120000,333.478275,86.103720,1507.153206,264.281830,-72.870007,161.590000,232.261508,-48.280000,-69.125772,coast
6.710000,1622.410000,337.298756,87.090164,1525.304095,267.802899,-73.867704,157.630000,230.505822,-57.990000,-68.624455,coast
6.740000,1622.410000,338.713664,87.455492,1532.067320,269.116418,-74.240215,157.630000,229.852946,-57.990000,-68.438051,coast
6.820000,1646.610000,342.462815,88.423519,1550.030784,272.607791,-75.230915,155.630000,228.121029,-63.300000,-67.943621,coast
6.930000,1671.370000,347.552567,89.737687,1574.491328,277.370785,-76.584310,153.660000,225.769605,-45.960000,-67.272544,coast
7.040000,1693.790000,352.714129,91.070396,1598.701919,282.094628,-77.928495,151.860000,223.448996,-38.090000,-66.610479,coast
7.070000,1693.790000,354.150253,91.441202,1605.269986,283.377509,-78.293804,151.860000,222.820352,-38.090000,-66.431158,coast
7.150000,1722.460000,357.957349,92.424190,1622.669329,286.780540,-79.263683,150.070000,221.157886,-40.770000,-65.957046,coast
7.180000,1722.460000,359.376546,92.790625,1629.160007,288.051386,-79.626126,150.070000,220.538529,-40.770000,-65.780448,coast
7.620000,1722.460000,380.191436,98.165007,1722.302318,306.375157,-84.867023,150.070000,211.693392,-40.770000,-63.260491,coast
7.920000,1901.550000,393.798497,101.678335,1783.651083,318.541725,-88.362019,137.700000,205.904673,-94.060000,-61.615011,coast
8.170000,1901.550000,404.650290,104.480256,1833.474483,328.486943,-91.225764,137.700000,201.219369,-94.060000,-60.287182,coast
8.580000,2036.010000,422.209196,109.013946,1912.718593,344.436466,-95.833700,127.570000,193.786033,-95.030000,-58.183951,coast
8.610000,2036.010000,423.476577,109.341182,1918.397636,345.586277,-96.166465,127.570000,193.253622,-95.030000,-58.033493,coast
8.690000,2058.860000,426.915378,110.229077,1933.474770,348.642865,-97.051378,126.010000,191.840082,-106.260000,-57.634123,coast
8.720000,2058.860000,428.227098,110.567761,1939.091127,349.783728,-97.381859,126.010000,191.313476,-106.260000,-57.485394,coast
8.800000,2073.870000,431.705169,111.465795,1954.013769,352.818309,-98.261206,124.580000,189.914170,-102.970000,-57.090264,coast
8.830000,2073.870000,433.002003,111.800637,1959.575648,353.951439,-98.589750,124.580000,189.392542,-102.970000,-56.943018,coast
8.910000,2098.260000,436.515219,112.707745,1974.335521,356.962967,-99.463319,122.970000,188.008036,-101.810000,-56.552296,coast
9.020000,2117.820000,441.385997,113.965374,1994.470728,361.081327,-100.658754,121.190000,186.118677,-97.290000,-56.019323,coast
9.130000,2140.540000,446.287875,115.231034,2014.389547,365.169358,-101.846302,119.390000,184.248511,-91.430000,-55.492077,coast
9.160000,2140.540000,447.642917,115.580904,2019.784935,366.279117,-102.168817,119.390000,183.741707,-91.430000,-55.349252,coast
9.240000,2162.270000,451.231091,116.507367,2034.103012,369.228809,-103.026304,117.720000,182.396274,-80.940000,-54.970195,coast
11.550000,2538.990000,546.236952,141.037775,2404.207326,448.645214,-126.238712,85.810000,146.976542,-47.790000,-45.062863,coast
11.580000,2538.990000,547.368548,141.329952,2408.494641,449.610854,-126.521916,85.810000,146.553877,-47.790000,-44.945666,coast
11.660000,2553.780000,550.361699,142.102780,2419.870745,452.179063,-127.275177,84.420000,145.430479,-47.550000,-44.634301,coast
11.690000,2553.780000,551.474965,142.390224,2424.098202,453.137523,-127.556329,84.420000,145.011701,-47.550000,-44.518322,coast
13.010000,2553.780000,600.458675,155.037763,2598.542378,493.967707,-139.536360,84.420000,127.293948,-47.550000,-39.640857,coast
13.090000,2762.460000,603.292069,155.769342,2608.383401,496.359915,-140.238109,67.630000,126.262761,-22.770000,-39.359038,coast
13.230000,2762.460000,608.013704,156.988463,2625.397700,500.523751,-141.459396,67.630000,124.469575,-22.770000,-38.869622,coast
13.310000,2790.520000,610.657724,157.671146,2634.982000,502.888210,-142.152792,64.920000,123.452392,-21.550000,-38.592447,coast
13.340000,2790.520000,611.628959,157.921918,2638.576112,503.774882,-142.412816,64.920000,123.070948,-21.550000,-38.488507,coast
13.420000,2802.240000,614.228631,158.593151,2648.053843,506.127978,-143.102781,63.570000,122.059468,-21.000000,-38.213237,coast
13.450000,2802.240000,615.207149,158.845803,2651.600271,507.009566,-143.361270,63.570000,121.680576,-21.000000,-38.110149,coast
13.530000,2816.540000,617.790055,159.512706,2660.975103,509.351767,-144.047942,62.280000,120.674550,-21.550000,-37.836708,coast
13.560000,2816.540000,618.748716,159.760232,2664.474140,510.228346,-144.304915,62.280000,120.298163,-21.550000,-37.734461,coast
13.640000,2828.840000,621.277440,160.413145,2673.746556,512.559775,-144.988324,60.930000,119.297512,-22.400000,-37.462830,coast
13.670000,2828.840000,622.215321,160.655305,2677.198489,513.431417,-145.243800,60.930000,118.923585,-22.400000,-37.361413,coast
13.750000,2843.860000,624.688014,161.293752,2686.368964,515.752195,-145.923973,59.550000,117.928232,-21.430000,-37.091575,coast
13.780000,2843.860000,625.604653,161.530427,2689.774075,516.618973,-146.177968,59.550000,117.556716,-21.430000,-36.990978,coast
13.860000,2855.410000,628.022754,162.154778,2698.843078,518.929220,-146.854932,58.270000,116.566582,-21.120000,-36.722915,coast
13.890000,2855.410000,628.919690,162.386366,2702.201640,519.791206,-147.107459,58.270000,116.197430,-21.120000,-36.623127,coast
13.970000,2870.350000,631.318162,163.005648,2711.157805,522.089837,-147.780866,57.010000,115.213026,-20.820000,-36.357028,coast
14.000000,2870.350000,632.220079,163.238522,2714.481912,522.948310,-148.032312,57.010000,114.845601,-20.820000,-36.257836,coast
14.080000,2882.170000,634.597137,163.852276,2723.314662,525.234356,-148.701846,55.680000,113.867379,-21.550000,-35.993870,coast
14.110000,2882.170000,635.478013,164.079717,2726.615604,526.090478,-148.952568,55.680000,113.501106,-21.550000,-35.895078,coast
14.190000,2896.020000,637.800016,164.679256,2735.325636,528.364132,-149.618275,54.400000,112.528951,-21.120000,-35.633222,coast
14.220000,2896.020000,638.660642,164.901469,2738.591897,529.216752,-149.867915,54.400000,112.164393,-21.120000,-35.535027,coast
14.440000,2896.020000,644.971901,166.531029,2762.087641,535.423736,-151.684510,54.400000,109.513212,-21.120000,-34.822729,coast
14.550000,2896.020000,648.127531,167.345809,2773.619755,538.505946,-152.586212,54.400000,108.197990,-21.120000,-34.470245,coast
14.660000,2896.020000,651.283160,168.160589,2785.008897,541.574197,-153.483579,54.400000,106.889553,-21.120000,-34.120179,coast
14.740000,2961.290000,653.472601,168.725900,2793.215805,543.798266,-154.133910,48.110000,105.941547,-18.130000,-33.866870,coast
14.850000,2974.120000,656.337522,169.465619,2804.362100,546.843039,-155.023959,46.890000,104.644488,-21.370000,-33.520895,coast
14.960000,2985.150000,659.166597,170.196083,2815.348367,549.872534,-155.909217,45.730000,103.354805,-23.140000,-33.177604,coast
15.070000,2996.530000,661.921752,170.907462,2826.194135,552.888744,-156.790291,44.470000,102.071521,-25.090000,-32.836665,coast
15.100000,2996.530000,662.662662,171.098764,2829.145137,553.710692,-157.030377,44.470000,101.721850,-25.090000,-32.743797,coast
15.510000,3042.540000,672.428469,173.620284,2868.200638,564.825533,-160.274090,39.370000,97.000141,-23.680000,-31.497974,coast
15.760000,3042.540000,678.163742,175.101125,2891.046452,571.513895,-162.224017,39.370000,94.164030,-23.680000,-30.761830,coast
15.780000,3042.540000,678.622564,175.219593,2892.843486,572.046166,-162.379141,39.370000,93.938448,-23.680000,-30.703548,coast
15.840000,3072.580000,679.947802,175.561768,2898.211068,573.640856,-162.843849,35.620000,93.262674,-23.070000,-30.529140,coast
15.980000,3072.580000,682.920491,176.329313,2910.569498,577.346887,-163.923495,35.620000,91.692669,-23.070000,-30.125194,coast
16.060000,3094.180000,684.563614,176.753565,2917.528345,579.455479,-164.537548,33.290000,90.799684,-21.180000,-29.896129,coast
16.200000,3094.180000,687.341852,177.470903,2929.545562,583.131484,-165.607660,33.290000,89.243406,-21.180000,-29.497953,coast
16.280000,3108.690000,688.892430,177.871261,2936.297532,585.222156,-166.215964,31.050000,88.358727,-27.410000,-29.272354,coast
16.310000,3108.690000,689.460028,178.017814,2938.822215,586.005537,-166.443877,31.050000,88.027269,-27.410000,-29.187878,coast
16.390000,3118.150000,690.959443,178.404961,2945.478705,588.088096,-167.049552,29.830000,87.146467,-22.400000,-28.963896,coast
16.420000,3118.150000,691.516408,178.548769,2947.962696,588.868027,-167.276347,29.830000,86.816665,-22.400000,-28.880110,coast
16.500000,3126.800000,692.984710,178.927883,2954.524038,590.942564,-167.879419,28.560000,85.939759,-20.270000,-28.657741,coast
16.530000,3126.800000,693.528972,179.068411,2956.967499,591.719086,-168.105108,28.560000,85.611622,-20.270000,-28.574642,coast
16.610000,3139.620000,694.949847,179.435279,2963.434031,593.785672,-168.705605,27.360000,84.738621,-18.740000,-28.353878,coast
16.640000,3139.620000,695.471241,179.569902,2965.837122,594.558817,-168.930202,27.360000,84.412146,-18.740000,-28.271464,coast
16.720000,3147.030000,696.842822,179.924043,2972.209182,596.617515,-169.528151,26.100000,83.543038,-17.340000,-28.052306,coast
16.750000,3147.030000,697.350115,180.055025,2974.572064,597.387310,-169.751669,26.100000,83.218216,-17.340000,-27.970578,coast
16.780000,3147.030000,697.857407,180.186008,2976.926285,598.156386,-169.974955,26.100000,82.893749,-17.340000,-27.888999,coast
16.830000,3158.370000,698.682162,180.398958,2980.849987,599.438178,-170.347099,24.820000,82.352971,-15.690000,-27.753034,coast
16.860000,3158.370000,699.164575,180.523517,2983.172817,600.204654,-170.569552,24.820000,82.029782,-15.690000,-27.671996,coast
