altitude_asl_m,altitude_agl_m,density_kg_m3,pressure_pa,temperature_K,gravity_m_s2,wind_x_m_s,wind_y_m_s,speed_of_sound_m_s,dynamic_viscosity_pa_s
216.100,0.000,1.19872984,99240.1527,288.385893,9.80137498,-1.10583481,-3.82540275,340.431984,1.79050833e-05
266.100,50.000,1.1937876,98661.2341,287.879919,9.8012207,-1.12551804,-3.96665887,340.132545,1.78806168e-05
316.100,100.000,1.18884536,98082.3156,287.373944,9.80106643,-1.14520127,-4.107915,339.833106,1.78561504e-05
366.100,150.000,1.18390312,97503.397,286.867969,9.80091216,-1.1648845,-4.24917112,339.533667,1.78316839e-05
416.100,200.000,1.17896088,96924.4785,286.361994,9.80075789,-1.18456773,-4.39042725,339.234228,1.78072175e-05
466.100,250.000,1.17401864,96345.5599,285.856019,9.80060362,-1.20425096,-4.53168338,338.93479,1.7782751e-05
516.100,300.000,1.1690764,95766.6414,285.350045,9.80044936,-1.22393419,-4.6729395,338.635351,1.77582845e-05
566.100,350.000,1.16413416,95187.7228,284.84407,9.8002951,-1.24361742,-4.81419563,338.335912,1.77338181e-05
616.100,400.000,1.15914303,94619.4641,284.363394,9.80014084,-1.2149907,-4.86152214,338.050384,1.77104919e-05
666.100,450.000,1.15412844,94056.3207,283.894859,9.79998659,-1.1631815,-4.86377472,337.771531,1.76877128e-05
716.100,500.000,1.14911385,93493.1772,283.426323,9.79983233,-1.1113723,-4.86602729,337.492679,1.76649338e-05
766.100,550.000,1.14409925,92930.0338,282.957788,9.79967809,-1.05956311,-4.86827986,337.213827,1.76421547e-05
816.100,600.000,1.13908239,92369.5047,282.493516,9.79952385,-0.998598767,-4.87313189,336.93728,1.76195649e-05
866.100,650.000,1.1340582,91817.4216,282.043016,9.79936961,-0.908057149,-4.88638188,336.668183,1.75975862e-05
916.100,700.000,1.129034,91265.3386,281.592516,9.79921537,-0.817515531,-4.89963187,336.399086,1.75756076e-05
966.100,750.000,1.1240098,90713.2556,281.142017,9.79906115,-0.726973913,-4.91288187,336.129988,1.7553629e-05
1016.100,800.000,1.11898561,90161.1725,280.691517,9.79890692,-0.636432295,-4.92613186,335.860891,1.75316504e-05
1066.100,850.000,1.11380642,89621.3441,280.300242,9.7987527,-0.376747956,-4.94060237,335.626411,1.75125021e-05
1116.100,900.000,1.10856332,89086.5682,279.933386,9.79859848,-0.0473260152,-4.95557609,335.406204,1.74945208e-05
1166.100,950.000,1.10332023,88551.7923,279.56653,9.79844427,0.282095926,-4.97054981,335.185997,1.74765394e-05
1216.100,1000.000,1.09807713,88017.0165,279.199673,9.79829007,0.611517867,-4.98552354,334.965789,1.74585581e-05
1266.100,1050.000,1.09283404,87482.2406,278.832817,9.79813586,0.940939808,-5.00049726,334.745582,1.74405767e-05
1316.100,1100.000,1.08759095,86947.4647,278.465961,9.79798166,1.27036175,-5.01547099,334.525375,1.74225954e-05
1366.100,1150.000,1.08234785,86412.6888,278.099105,9.79782746,1.59978369,-5.03044471,334.305168,1.74046141e-05
1416.100,1200.000,1.07710476,85877.9129,277.732248,9.79767327,1.92920563,-5.04541844,334.084961,1.73866327e-05
1466.100,1250.000,1.07186166,85343.1371,277.365392,9.79751908,2.25862757,-5.06039216,333.864753,1.73686514e-05
1516.100,1300.000,1.06651963,84817.2219,277.042632,9.7973649,2.62682365,-5.08462225,333.67074,1.735281e-05
1566.100,1350.000,1.06100042,84307.172,276.798828,9.79721072,3.0644464,-5.12542624,333.523626,1.73408004e-05
1616.100,1400.000,1.05548122,83797.1222,276.555024,9.79705654,3.50206914,-5.16623022,333.376512,1.73287908e-05
1666.100,1450.000,1.04996201,83287.0724,276.311221,9.79690236,3.93969189,-5.20703421,333.229399,1.73167811e-05
1716.100,1500.000,1.04444281,82777.0226,276.067417,9.79674819,4.37731464,-5.24783819,333.082285,1.73047715e-05
1766.100,1550.000,1.03892361,82266.9727,275.823613,9.79659402,4.81493738,-5.28864218,332.935171,1.72927619e-05
1816.100,1600.000,1.0334044,81756.9229,275.579809,9.79643986,5.25256013,-5.32944617,332.788057,1.72807523e-05
1866.100,1650.000,1.0278852,81246.8731,275.336005,9.7962857,5.69018287,-5.37025015,332.640944,1.72687427e-05
1916.100,1700.000,1.022366,80736.8233,275.092202,9.79613154,6.12780562,-5.41105414,332.49383,1.7256733e-05
1966.100,1750.000,1.01684679,80226.7735,274.848398,9.79597738,6.56542837,-5.45185812,332.346716,1.72447234e-05
2016.100,1800.000,1.01134442,79740.5443,274.666055,9.79582323,7.13257836,-5.50398869,332.236476,1.72357249e-05
2066.100,1850.000,1.00585551,79273.3845,274.532915,9.79566909,7.80341982,-5.56518663,332.155753,1.72291368e-05
2116.100,1900.000,1.00036661,78806.2247,274.399774,9.79551494,8.47426128,-5.62638456,332.07503,1.72225487e-05
2166.100,1950.000,0.994877709,78339.0649,274.266634,9.7953608,9.14510274,-5.68758249,331.994308,1.72159606e-05
2216.100,2000.000,0.989388806,77871.9052,274.133493,9.79520667,9.8159442,-5.74878042,331.913585,1.72093725e-05
2266.100,2050.000,0.983899903,77404.7454,274.000352,9.79505253,10.4867857,-5.80997836,331.832863,1.72027844e-05
2316.100,2100.000,0.978411,76937.5856,273.867212,9.7948984,11.1576271,-5.87117629,331.75214,1.71961963e-05
2366.100,2150.000,0.972922097,76470.4258,273.734071,9.79474428,11.8284686,-5.93237422,331.671418,1.71896082e-05
2416.100,2200.000,0.967433194,76003.266,273.600931,9.79459015,12.49931,-5.99357216,331.590695,1.71830201e-05
2466.100,2250.000,0.961944291,75536.1062,273.46779,9.79443604,13.1701515,-6.05477009,331.509972,1.7176432e-05
2516.100,2300.000,0.956455388,75068.9464,273.33465,9.79428192,13.840993,-6.11596802,331.42925,1.71698439e-05
2566.100,2350.000,0.950966485,74601.7866,273.201509,9.79412781,14.5118344,-6.17716595,331.348527,1.71632558e-05
2616.100,2400.000,0.945477581,74134.6268,273.068369,9.7939737,15.1826759,-6.23836389,331.267805,1.71566677e-05
2666.100,2450.000,0.939988678,73667.467,272.935228,9.7938196,15.8535173,-6.29956182,331.187082,1.71500796e-05
2716.100,2500.000,0.934499775,73200.3072,272.802088,9.7936655,16.5243588,-6.36075975,331.10636,1.71434915e-05
2766.100,2550.000,0.929010872,72733.1475,272.668947,9.7935114,17.1952003,-6.42195768,331.025637,1.71369034e-05
2816.100,2600.000,0.923521969,72265.9877,272.535806,9.79335731,17.8660417,-6.48315562,330.944914,1.71303153e-05
2866.100,2650.000,0.918033066,71798.8279,272.402666,9.79320322,18.5368832,-6.54435355,330.864192,1.71237272e-05
2916.100,2700.000,0.912544163,71331.6681,272.269525,9.79304913,19.2077246,-6.60555148,330.783469,1.71171391e-05
2966.100,2750.000,0.90705526,70864.5083,272.136385,9.79289505,19.8785661,-6.66674941,330.702747,1.7110551e-05
3016.100,2800.000,0.901566357,70397.3485,272.003244,9.79274097,20.5494076,-6.72794735,330.622024,1.71039629e-05
3066.100,2850.000,0.896240824,69938.4074,271.844483,9.7925869,21.1280686,-6.75339201,330.525505,1.70960868e-05
3116.100,2900.000,0.891845148,69526.2453,271.539895,9.79243283,21.1820619,-6.57533799,330.339076,1.70808801e-05
3166.100,2950.000,0.887449472,69114.0833,271.235308,9.79227876,21.2360551,-6.39728397,330.152648,1.70656733e-05
3216.100,3000.000,0.883053796,68701.9212,270.93072,9.7921247,21.2900483,-6.21922995,329.966219,1.70504666e-05
3266.100,3050.000,0.87865812,68289.7591,270.626132,9.79197064,21.3440416,-6.04117592,329.779791,1.70352599e-05
3316.100,3100.000,0.874262445,67877.597,270.321544,9.79181658,21.3980348,-5.8631219,329.593362,1.70200531e-05
3366.100,3150.000,0.869866769,67465.4349,270.016956,9.79166253,21.452028,-5.68506788,329.406934,1.70048464e-05
3416.100,3200.000,0.865471093,67053.2728,269.712369,9.79150848,21.5060213,-5.50701386,329.220505,1.69896397e-05
3466.100,3250.000,0.861075417,66641.1107,269.407781,9.79135443,21.5600145,-5.32895983,329.034077,1.69744329e-05
